NEPSE Sub-Indices,Current,Points Change,%Change,

      Banking      , 
      440.67    , 
      -1.9      ,
      -0.43      %,

      Dev. Bank      , 
      491.98    , 
      -5.79      ,
      -1.16      %,

      HydroPower      , 
      729.58    , 
      -9.66      ,
      -1.31      %,

      Finance      , 
      462.04    , 
      -3.02      ,
      -0.65      %,

      Insurance      , 
      571.15    , 
      -0.51      ,
      -0.09      %,

      Others      , 
      531.08    , 
      -8.22      ,
      -1.52      %,
 ,,,,
